material,description,plant,date,fct
200140004830,6.6OZ GF CARS 3,4015,7/31/17,152
200140004830,6.6OZ GF CARS 3,4015,8/7/17,103
200140004830,6.6OZ GF CARS 3,4015,8/14/17,203
200140004830,6.6OZ GF CARS 3,4015,8/21/17,250
200140004830,6.6OZ GF CARS 3,4015,8/28/17,280
200140004830,6.6OZ GF CARS 3,4015,9/4/17,325
200140004830,6.6OZ GF CARS 3,4015,9/11/17,293
200140004830,6.6OZ GF CARS 3,4015,9/18/17,478
200140004830,6.6OZ GF CARS 3,4015,9/25/17,740
200140004830,6.6OZ GF CARS 3,4015,10/2/17,369
200140004830,6.6OZ GF CARS 3,4015,10/9/17,195
200140004830,6.6OZ GF CARS 3,4015,10/16/17,467
200140004830,6.6OZ GF CARS 3,4015,10/23/17,471
