material,description,plant,date,fct
200140004830,6.6OZ GF CARS 3,4015,7/31/17,100
200140004830,6.6OZ GF CARS 3,4015,8/7/17,100
200140004830,6.6OZ GF CARS 3,4015,8/14/17,100
200140004830,6.6OZ GF CARS 3,4015,8/21/17,100
200140004830,6.6OZ GF CARS 3,4015,8/28/17,100
200140004830,6.6OZ GF CARS 3,4015,9/4/17,100
200140004830,6.6OZ GF CARS 3,4015,9/11/17,100
200140004830,6.6OZ GF CARS 3,4015,9/18/17,100
200140004830,6.6OZ GF CARS 3,4015,9/25/17,100
200140004830,6.6OZ GF CARS 3,4015,10/2/17,100
200140004830,6.6OZ GF CARS 3,4015,10/9/17,100
200140004830,6.6OZ GF CARS 3,4015,10/16/17,100
200140004830,6.6OZ GF CARS 3,4015,10/23/17,100
